Tuesday 15 May 2018 [12:06:18pm] - Time: 0:54:17, Score: 1 - Joel got it
Tuesday 15 May 2018 [12:06:18pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:06:22pm] - Time: 0:03:90, Score: 0
Tuesday 15 May 2018 [12:06:22pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:06:23pm] - Time: 0:00:50, Score: 0
Tuesday 15 May 2018 [12:06:23pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:06:24pm] - Time: 0:00:84, Score: 0
Tuesday 15 May 2018 [12:06:24pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:06:27pm] - Time: 0:03:74, Score: 0
Tuesday 15 May 2018 [12:06:27pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:06:29pm] - Time: 0:01:18, Score: 0
Tuesday 15 May 2018 [12:06:29pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:06:30pm] - Time: 0:01:4, Score: 0
Tuesday 15 May 2018 [12:06:30pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:06:34pm] - Time: 0:04:9, Score: 0
Tuesday 15 May 2018 [12:06:34pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:06:37pm] - Time: 0:03:33, Score: 0
Tuesday 15 May 2018 [12:06:37pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:06:41pm] - Time: 0:03:81, Score: 0
Tuesday 15 May 2018 [12:06:41pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:06:42pm] - Time: 0:01:18, Score: 0
Tuesday 15 May 2018 [12:06:42pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:06:45pm] - Time: 0:02:45, Score: 0
Tuesday 15 May 2018 [12:06:45pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:06:52pm] - Time: 0:07:7, Score: 0
Tuesday 15 May 2018 [12:06:52pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:06:52pm] - Time: 0:00:40, Score: 0
Tuesday 15 May 2018 [12:06:52pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:06:52pm] - Time: 0:00:20, Score: 0
Tuesday 15 May 2018 [12:06:52pm] - Time: 0:00:0, Score: 0
Tuesday 15 May 2018 [12:06:57pm] - Time: 0:05:7, Score: 0
Tuesday 15 May 2018 [12:06:57pm] - Time: 0:00:0, Score: 0
