Wednesday 23 May 2018 [ 6:43:52am] - Time: 0:34:14, Score: 4
Wednesday 23 May 2018 [ 6:43:58am] - Time: 0:06:35, Score: 1
Wednesday 23 May 2018 [ 6:43:58am] - Time: 0:00:0, Score: 0
Wednesday 23 May 2018 [ 6:44:09am] - Time: 0:10:73, Score: 4
Wednesday 23 May 2018 [ 6:44:10am] - Time: 0:00:94, Score: 0
Wednesday 23 May 2018 [ 6:44:10am] - Time: 0:00:0, Score: 0
Wednesday 23 May 2018 [ 6:44:40am] - Time: 0:30:38, Score: 10
Wednesday 23 May 2018 [ 6:44:51am] - Time: 0:10:29, Score: 1
Wednesday 23 May 2018 [ 6:44:51am] - Time: 0:00:0, Score: 0
Wednesday 23 May 2018 [ 6:45:02am] - Time: 0:11:65, Score: 0
Wednesday 23 May 2018 [ 6:45:02am] - Time: 0:00:0, Score: 0
Wednesday 23 May 2018 [ 6:46:54am] - Time: 1:51:97, Score: 27
Wednesday 23 May 2018 [ 6:56:41am] - Time: 2:06:16, Score: 31
Wednesday 23 May 2018 [ 6:56:46am] - Time: 0:05:37, Score: 0
Wednesday 23 May 2018 [ 6:56:46am] - Time: 0:00:0, Score: 0
Wednesday 23 May 2018 [ 6:58:23am] - Time: 1:36:92, Score: 28
Wednesday 23 May 2018 [ 6:59:21am] - Time: 0:57:74, Score: 14
Wednesday 23 May 2018 [ 6:59:58am] - Time: 0:36:57, Score: 10
